rank,experiment,kind,evaluation_role,agreement,path_agreement,level_1_agreement,level_2_agreement,level_3_agreement,macro_f1,level_1_macro_f1,level_2_macro_f1,level_3_macro_f1,correct,total,assigned,needs_review,unassigned,notes
11,evidence_alpha_0_68,chunk_evidence,baseline agreement,0.35772357723577236,0.35772357723577236,0.5609756097560976,0.4878048780487805,0.35772357723577236,0.4746027103604617,0.5692332565659385,0.5564848279959842,0.47460271036046175,44,123,84,19,20,Chunk-evidence assigner with local n-gram backend; alpha=0.68.
12,evidence_topk_4,chunk_evidence,baseline agreement,0.35772357723577236,0.35772357723577236,0.5609756097560976,0.4878048780487805,0.35772357723577236,0.4746027103604617,0.5692332565659385,0.5564848279959842,0.47460271036046175,44,123,84,19,20,Chunk-evidence assigner with local n-gram backend; top_k_chunks=4.
13,evidence_alpha_0_50,chunk_evidence,baseline agreement,0.34959349593495936,0.34959349593495936,0.6097560975609756,0.5284552845528455,0.34959349593495936,0.49578043093080687,0.6192687241074338,0.5759689698161251,0.4957804309308069,43,123,91,29,3,Chunk-evidence assigner with local n-gram backend; alpha=0.5.
14,evidence_topk_8,chunk_evidence,baseline agreement,0.34959349593495936,0.34959349593495936,0.5365853658536586,0.4715447154471545,0.34959349593495936,0.46750798462621124,0.5627560589453172,0.5551776384535005,0.46750798462621124,43,123,83,16,24,Chunk-evidence assigner with local n-gram backend; top_k_chunks=8.
15,evidence_alpha_0_30,chunk_evidence,baseline agreement,0.34146341463414637,0.34146341463414637,0.5772357723577236,0.5040650406504065,0.34146341463414637,0.47139949997092856,0.5410413791679105,0.5256945937980421,0.47139949997092856,42,123,82,40,1,Chunk-evidence assigner with local n-gram backend; alpha=0.3.
16,evidence_alpha_0_00,chunk_evidence,baseline agreement,0.3252032520325203,0.3252032520325203,0.5853658536585366,0.4959349593495935,0.3252032520325203,0.39852878950623316,0.5233510049244834,0.3920321733709157,0.39852878950623305,40,123,76,47,0,Chunk-evidence assigner with local n-gram backend; alpha=0.0.
17,hierarchical_alpha_0_0,hierarchical_embeddings,baseline agreement,0.25203252032520324,0.25203252032520324,0.5772357723577236,0.3821138211382114,0.25203252032520324,0.2885358236861996,0.5254045921860347,0.3347857142857143,0.28853582368619957,31,123,122,0,0,Whole-document hierarchical assigner; alpha=0.0.
18,baseline_keyword,baseline,baseline agreement,0.23577235772357724,0.23577235772357724,0.5203252032520326,0.43902439024390244,0.23577235772357724,0.25397869674185464,0.4670056654592738,0.4017122570223345,0.2539786967418547,29,123,123,0,0,Rule-based keyword baseline.
19,evidence_alpha_0_85,chunk_evidence,baseline agreement,0.06504065040650407,0.06504065040650407,0.08943089430894309,0.08943089430894309,0.06504065040650407,0.14467120181405896,0.3085441690092853,0.22235478806907377,0.14467120181405896,8,123,13,1,109,Chunk-evidence assigner with local n-gram backend; alpha=0.85.
20,evidence_alpha_1_00,chunk_evidence,baseline agreement,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.08843537414965986,0.26666666666666666,0.16,0.08843537414965986,4,123,4,0,119,Chunk-evidence assigner with local n-gram backend; alpha=1.0.
